Name,Log2FC_PrimCom
Stachydrine,-0.016555944923956782
Prolylglycine,0.2942951626213023
Possible Carnitine__A,0.10826914239335127
Uridine Diphosphate Glucose (UDP glucose),0.4524500381903426
Sphingosine-1-phosphate,0.0739282713491656
Glycyl-Asparagine,-0.36254244739255703
Gamma-glutamylglutamate,-0.2197511735386169
Nicotinamide,0.09635291153751468
SEROTONIN CREATININE SULFATE COMPLEX,0.07347705611735181
Umbelliferone,-0.04968879772530245
C8 H9 N,-0.05643209124710739
D-Erythro-sphingosine 1-phosphate,-0.0748151490309837
Heptanoylcarnitine,-0.30679315595410683
Valyl-Valine,-0.30830473929614954
4-Hydroxyhippuric acid,0.03631830884632526
LPC 18:2-SN1,0.10066402037241025
Creatinine,0.09924583355484497
Flavin adenine dinucleotide (FAD),-0.007334003513044768
Threoninyl-Leucine,-0.2849447941860659
Guanosine Diphosphate Mannose,-0.08002293429286339
Guanosine,-0.31621632840990044
Palmitoylcarnitine,-0.17600727754877923
Indole,-0.06931963575656655
Alanyl-Leucine,-0.3601479097862439
N6-Acetyl-L-lysine,-0.17293355915517755
Methyl jasmonate,0.0393640598325363
Hydroxyisovalerylcarnitine,-0.04106784906887751
Hydroxyhexadecadienoylcarnitine,0.17324149044605466
Ectoine,-0.12296038506920241
Hexadecanoylcarnitine,0.2789206123572838
Phthalic anhydride,-0.09416549348435138
5-Oxoproline,-0.005730327794829019
Ascorbic acid,0.12319587439113301
UDP-N-acetylglucosamine,0.08292733349186598
Glycyl-Serine,-0.05609881657388836
Carnitine,0.012867509137406382
Tryptophan,0.03081339186386337
Lumichrome,-0.2069167836689522
Spermidine,0.05766244875584969
"3-(3,4-dihydroxyphenyl)propanoic acid",0.1243368378926328
Alanyl-Glycine,0.02409306860837534
Centralite,-0.04930596730701497
N-Fructosyl isoleucine,-0.20239846953362473
