feature,delta_z
ACTR2,1.2308314138728207
ACTR3,1.2328192550638857
ACTR3B,-1.6330782920260323
ACTR5,0.33741348108909763
ACTR6,0.12548675840524748
ACTR8,0.09349100202417066
ACVR1,-0.8531189900831451
ACVR1B,-0.9449798378719378
ACVR2A,-0.5431261957578598
ACY3,-0.5899287103239181
ACYP1,-1.0913976418897422
ACYP2,-0.7789498053966221
ADA,0.5508344986285993
ADA2,0.3761289112201357
ADAL,-0.018278150244803157
ADAM10,-0.527367735164522
ADAM11,-1.5179229753239856
ADAM12,1.047064309563468
ADAM15,0.0413951430521093
ADAM17,0.9248577699727358
ADAM22,-1.6595456684034318
ADAM23,-1.5057102327868317
ADAM28,1.077288784236216
ADAM9,0.8426143010672587
ADAMTS1,0.6755246544732632
ADAMTS4,-0.055594618645020834
ADAMTSL2,0.18845038259652067
ADAMTSL4,0.7725464166617744
ADAP1,-1.5684570296070377
ADAP2,1.003154174139739
ADAR,0.1271613396943133
ADARB1,0.2732214711557502
ADAT1,0.6810090160309785
ADAT2,0.3700833561695026
ADAT3,0.39761119865565187
ADCK1,-0.8196357228171597
ADCK5,0.2145321187770789
ADCY1,-1.2144295462269152
ADCY2,-0.9541651247982729
ADCY3,-0.5702513415055213
ADCY5,-1.5262775494855871
ADCY6,0.15617195995808264
ADCY7,0.5723053081658909
ADCY8,-0.5696279055630128
ADCY9,-0.6138085971833793
ADCYAP1,-0.9964474000481861
ADCYAP1R1,-0.8254775643125762
ADD1,-1.4258357539459126
ADD2,-1.4633396388769335
ADD3,-1.0514425272560124
ADGRA1,-0.8220865973995569
ADGRB1,-1.3030038684284087
ADGRB2,-1.2026983975057544
ADGRB3,-1.4347847554999906
ADGRE2,1.1053068100013295
ADGRE5,1.0055165593488298
ADGRF5,0.7534038758043355
ADGRG1,-0.5333047892304515
ADGRG3,1.1034161147539774
ADGRL1,-1.58277929310967
ADGRL2,-0.4879048015151321
ADGRL3,-0.63907777653132
ADGRL4,0.49865598283742607
ADH1B,-0.5199806188788313
ADH5,0.0009596672112582318
ADHFE1,-0.9238822461441676
ADI1,0.8134026939403336
ADIPOQ,0.6841242849931877
ADIPOR2,-0.3235523224927678
ADIRF,-1.0458112788626126
ADK,-0.5148859241216679
ADM,0.8386504261652692
ADNP,-0.16098846135649242
ADO,-1.1213982691649673
ADORA1,-0.46909678097626295
ADPGK,1.3013393936673365
ADPRH,1.079975499677546
ADPRHL1,-1.081587154084714
ADPRHL2,1.0436605276502071
ADPRM,-0.4369451884605513
ADRM1,0.5579589865185068
ADSL,0.4749188032490118
ADSS,0.6359283742315891
ADSSL1,0.3925628541068724
AEBP1,0.8731524912059094
AEBP2,0.7564982362980341
AES,-0.3461801637120284
AFAP1,0.7650158148838371
AFAP1L1,0.16901634465385384
AFAP1L2,-0.5726762949274423
AFDN,-0.9232736933764248
AFF4,-0.05155724369608049
AFG1L,-1.0173318332025783
AFG3L2,-1.069854244696968
AFM,0.3257379581669948
AFMID,1.212319377468325
AFTPH,0.5364614481748214
AGA,0.5114459930616482
AGAP1,-1.1456785805133065
AGAP2,-1.464010093003929
AGAP3,-1.45105234990699
AGBL4,-1.153599194054258
AGFG1,-0.10908137030703044
AGFG2,0.03321351684498027
AGGF1,0.43065097543708386
AGK,-0.28286578833283504
AGL,-0.15672859837268777
AGMAT,-0.5159735254340052
AGO1,-0.485488875859143
AGO2,0.5102541845650705
AGO3,-0.8333665488508133
AGO4,-0.7165625614804593
AGPAT1,-0.6117960985869163
AGPAT2,1.0433348842695818
AGPAT3,-0.4562658006029727
AGPAT4,-1.2766169685030846
AGPAT5,-0.19869081119257395
AGPS,0.8704342560843862
AGR2,0.45725798971172327
AGRN,0.09302722851561364
AGT,0.15928950737677247
AGTPBP1,-0.932587074622085
AGTRAP,0.7026522369915689
AHCTF1,0.6744923945184786
AHCY,0.9032195463035231
AHCYL1,-0.804250812426552
AHCYL2,-0.30560345764132324
AHDC1,-0.07745254935229202
AHNAK,0.4125632524120719
AHNAK2,0.4857583204465751
AHR,1.0333482575940596
AHSA1,-0.8418291013924946
AHSG,0.5090818328182499
AHSP,0.2520619310589055
AIDA,0.016539165706082097
AIF1,1.0250141789807654
AIF1L,-0.46696623910341106
AIFM1,-0.02655441452945207
AIFM2,1.093311181113327
AIFM3,-1.0680998268462587
AIG1,-0.0964538080948927
AIMP1,0.9196769522396824
AIMP2,0.9340489406096457
AIP,0.03438770363294705
AJAP1,-1.2308475909340326
AJM1,-1.3960300730445876
AJUBA,0.195065505090171
AK1,-0.3987277439608232
AK2,0.9200005471747257
AK3,-0.1191460727225673
AK4,0.08935943011338995
AK5,-1.6759437286697152
AK6,1.181757165714886
AKAP1,-0.8464142561237569
AKAP10,-0.41462008165143305
AKAP11,0.8722522209790085
AKAP12,-0.09000685451659071
AKAP13,1.4275625773170617
AKAP17A,0.43859149830436917
AKAP5,-1.517079281692121
AKAP6,-0.8453436699385015
AKAP7,-1.1524914451086519
AKAP8,0.6737418761733662
AKAP8L,0.31472052321817334
AKAP9,1.0891314937855032
AKIRIN2,0.6775424780143611
AKR1A1,0.34364723871339004
AKR1B1,0.2821719066442693
AKR1B10,0.5553033419773434
AKR1C1,-0.20104448341889808
AKR1C2,-0.18185841389211502
AKR1C3,-0.44424044249306843
AKR1D1,-0.7450652014882525
AKR7A2,0.03714998579301568
AKR7A3,-0.9665425477346707
AKR7L,-0.6296365147503729
AKT1,0.936516307506532
AKT1S1,0.5691833935380679
AKT2,0.47613179071272727
AKT3,-1.3752851965990638
AKTIP,-0.03492036565697953
ALAD,0.06052288016201393
ALAS1,-0.1658106457352844
ALB,0.2692378137076804
ALCAM,-0.7772389335558262
ALDH16A1,1.022921614440367
ALDH18A1,0.4469349752367163
ALDH1A1,-0.021029092662322564
ALDH1A2,0.11575704477532028
ALDH1A3,0.4128155957077972
ALDH1B1,0.13536675798799935
ALDH1L1,-0.12325755772263153
ALDH1L2,0.17759834372983502
ALDH2,-0.7691399950511709
ALDH3A1,0.6650909550802717
ALDH3A2,-0.21356188580227603
ALDH3B1,1.1067033726348932
ALDH4A1,-0.9609247739161444
ALDH5A1,-1.4687672295132828
ALDH6A1,-1.0427363940768766
ALDH7A1,-0.7559746716563187
ALDH9A1,-0.003914883669508253
ALDOA,-0.2493135039919933
ALDOB,0.2890910801803238
ALDOC,-1.1567442680356532
ALG1,0.39984390062532754
ALG11,-0.09634560004887238
ALG12,0.7329464888638751
ALG13,0.07451619864211517
ALG14,-0.1414700878869682
ALG2,1.2850236526030232
ALG5,0.8686058367387195
ALG6,0.23867021992349974
ALG8,0.4115451411772613
ALG9,0.10712923227960955
ALKBH1,0.8763270914722391
ALKBH2,-0.44719016665555467
ALKBH3,0.28086883230814264
ALKBH4,-0.01909072103559891
ALKBH5,0.6781456921027245
ALKBH6,0.013420358028719857
ALKBH7,0.4035024878277169
ALKBH8,0.773456922709237
ALMS1,0.47932625336615853
ALOX12,0.5555596983653301
ALOX15B,0.9671212218326914
ALOX5,1.125184441304364
ALOX5AP,1.0596856305585778
ALPL,0.20273062272453113
ALS2,-0.544343394852232
ALYREF,0.5791733675316582
AMACR,0.6536637173951811
AMBP,0.6560480301246361
AMBRA1,0.05949425221986234
AMD1,0.5293087885396088
AMDHD2,0.838860911900204
AMER2,-1.2824407976955734
AMFR,0.20076376133418417
AMIGO1,-0.9061822707653993
AMN1,-1.1914940372781326
AMOT,-0.6475955650551116
AMOTL1,0.636115316334296
AMOTL2,-0.21477475179846078
AMPD2,0.6390971780819887
AMPD3,0.6300652812764111
AMPH,-1.6560727417072711
AMT,-0.20178521339508415
AMZ2,-0.20988372439578823
ANAPC1,0.7427954628802758
ANAPC10,0.5691774739393799
ANAPC11,0.34150196889434037
ANAPC13,0.14341233405878617
ANAPC16,0.5600929542577788
ANAPC2,-0.08216978564516571
ANAPC4,0.19825547113943975
ANAPC5,0.9066005216829504
ANAPC7,0.5211254376630863
ANG,0.7847904400679204
ANGEL1,-0.018412576259584083
ANGEL2,-0.9220203015697794
ANGPT2,0.5146712671829867
ANGPTL1,-0.007815280495506251
ANGPTL2,0.5414950529402829
ANGPTL4,0.8548978429651402
ANK1,0.3652744932042635
ANK2,-1.347922106449027
ANK3,-1.4915865169582987
ANKFY1,0.27104356981413835
ANKH,1.1007407748307763
ANKHD1,1.2171600291212359
ANKHD1-EIF4EBP3,0.9137237869614366
ANKIB1,-0.1720780373985753
ANKLE2,0.763493514961633
ANKMY2,-0.7455078600723375
ANKRD10,0.37522549587213794
ANKRD11,-0.03815712213315617
ANKRD12,0.7551111832063994
ANKRD13A,0.7939701658224037
ANKRD13D,-0.1681757165625697
ANKRD16,-0.7987991296639154
ANKRD17,0.9287878558364353
ANKRD22,0.7324618443617656
ANKRD24,-1.081283794099162
ANKRD27,0.29738668940217683
ANKRD28,-0.45782555099179567
ANKRD29,-1.4580514203234172
ANKRD34A,-0.5661024400227352
ANKRD35,0.15042600047683796
ANKRD39,0.10465753774807549
ANKRD40,0.5700659846594229
ANKRD44,0.7541634771912468
ANKRD45,0.6037218888293145
ANKRD46,-1.0439615923464598
ANKRD49,0.5697400006135969
ANKRD50,-0.09771344152567402
ANKRD52,1.0887359290540983
ANKRD54,0.3502309687651609
ANKRD63,-1.275258469668096
ANKS1A,0.6738050231575743
ANKS1B,-1.4506876174314056
