feature,delta_z
PE O-22:6_16:0,-0.0716896071439087
PE O-18:0_16:0,1.037373483043802
PE O-18:0_16:0,0.5045156475089634
PE O-18:1_18:0,1.0048560159849775
PE O-22:4_18:0,-0.34943851450401486
LPE P-16:0_0:0,-0.3407986364636487
PE P-16:0_16:0,-0.4075130983430876
PE P-16:1_16:0,-0.8007960854195906
PE P-18:1_16:0,-0.4574602277637596
PE P-18:2_16:0,0.15226714530736338
PE P-20:3_16:0,-0.5817452049607593
PE P-20:3_16:0,-0.3570241670501641
PE P-20:4_16:0,-0.19740325230023148
PE P-20:5_16:0,0.26795024272659484
PE P-22:4_16:0,-1.1044352211691426
PE P-22:5_16:0,-0.7571567708508791
PE P-20:4_18:1,-0.7571567708508791
PE P-22:6_16:0,-0.937998016989791
LPE P-18:0_0:0,-0.43331580595403146
PE P-18:0_16:0,-0.9619721414922344
PE P-18:0_16:0,-0.9619721414922344
PE P-18:1_18:0,-0.3445327535955028
PE P-20:1_18:0,-0.49238691871019136
PE P-20:3_18:0,-0.7275435575118925
PE P-20:3_18:0,-0.4554259806889105
PE P-20:4_18:0,-0.42250300409298086
PE P-20:5_18:0,-0.5196425155976129
PE P-22:5_16:0,-0.5196425155976129
PE P-22:1_18:0,-0.3146437224279679
PE P-22:4_18:0,-1.320934614917093
PE P-22:5_18:0,-0.30521119826906856
PE P-22:5_18:0,-0.8743296522651188
PE P-22:6_18:0,0.03066432115386864
PE P-22:6_18:0,-0.9344108343756895
PE P-18:1_16:1,-0.8552997027666087
PE P-18:1_18:1,-0.609590687409221
PE P-20:1_18:1,-0.5665568094460296
PE P-20:5_18:1,-0.05331690092702121
PE P-22:4_18:1,-0.9140114851322436
PE P-22:5_18:1,-0.4699305190219122
PE P-22:5_18:1,-0.5379250954694034
PE P-22:6_18:1,-0.7094981712902318
PE P-20:4_20:0,-0.032540507109204364
PE P-22:6_20:0,0.13503423269229836
PG 16:0_16:0,-1.2552140297625127
PG 16:0_16:0,-0.30368806281619354
PG 16:1_16:0,-0.8204072458259347
PG 18:0_16:0,-0.5199176893036495
PG 18:1_16:0,-0.32256658223719126
PG 18:1_16:0,-0.7327076794830024
PG 18:2_16:0,0.14650784561177826
PG 20:4_16:0,-0.5593739425088677
PG 20:4_16:0,-0.9690504238780041
PG 22:6_16:0,-0.20526688741613622
PG 18:1_16:1,-0.5389475330253124
PG 18:2_16:0,-0.5389475330253124
PG 18:2_16:1,-0.8684676108244155
PG 20:4_16:1,-1.1125035254848152
PG 22:6_16:1,-0.8473877193811543
PG 18:1_17:1,-0.604000793881764
PG 18:2_17:1,-0.39607437423241515
PG 18:1_18:0,0.047271294172277406
PG 18:1_18:0,0.05712466929341502
PG 20:4_18:0,-1.091290888932458
LPG 18:1_0:0,0.53465088287243
PG 18:1_18:1,-0.25975754063197837
PG 18:1_18:1,-0.4052614640303789
PG 18:2_18:1,-0.15847276583227343
PG 18:2_18:1,0.06328432969537204
PG 19:1_18:1,-0.5862245316097681
PG 20:1_18:1,0.10345029842703551
PG 20:2_18:1,-0.008439946481549878
PG 20:3_18:1,-0.575605684508957
PG 20:3_18:1,-0.4848356986802135
