feature,delta_z
ZMYND10-AS1,0.005118419833788704
ZMYND10,0.270303857125321
NPRL2,-0.0862428872442367
AL136115.1,0.7066224824376797
CYB561D2,0.8606858380247806
XXcos-LUCA11.5,0.08377389946749307
TMEM115,0.508267188267858
CACNA2D2,-1.2447078078005966
CYB561D2,0.0009423810223234078
C3orf18,-0.37471392519550717
HEMK1,-0.15456133147064288
RP11-804H8.7,0.3175954614242732
CISH,0.8130633771334171
MAPKAPK3,1.0007952551688175
RP11-804H8.6,0.2623401182974573
MIR4787,-0.35097586141536646
DOCK3,-0.8304936850530934
MANF,0.9202934610963378
KHDRBS1,-0.025644763494000432
RBM15B,-0.29402600696361014
VPRBP,0.11363974489886448
RAD54L2,0.2360317236109852
TEX264,0.5826654856868418
GRM2,-1.0341770620824322
RP11-277A4.4,-0.14096991371757972
IQCF3,-0.6343564831782804
RN7SL504P,-0.5117222361050202
IQCF5,-0.638149104178646
IQCF1,0.2584006758323987
RRP9,0.2420536891816854
PARP3,0.8082311539689764
RP11-155D18.13,-0.563537592507367
GPR62,-0.968253041915518
CPSF3L,-0.24594673960309796
TMEM39B,-0.0983803381523639
PCBP4,-0.8942229460507476
RP11-155D18.12,0.14411553083413248
ABHD14B,0.8552876005525929
ABHD14A,-1.030596962989253
ABHD14A-ACY1,-0.34375812420363544
ACY1,0.47521087797387634
RPL29,0.4325756669678035
DUSP7,-0.39387719098507495
POC1A,0.07998575702060506
ALDOAP1,0.38079941744871804
MIR5585,-0.3499465386926208
ALAS1,0.18331275306515166
RP11-330H6.6,0.5560756175538617
TLR9,0.453774139818664
RP11-330H6.5,-0.3228719244291656
TWF2,1.1409948765881026
RP5-1157M23.2,-0.13689368206129676
PPM1M,0.9536246785168143
WDR82,0.17399360306770156
MIRLET7G,0.4141660795219706
GLYCTK,0.680076264995985
Metazoa_SRP,-0.22953920327919589
GLYCTK-AS1,-0.6991934432385967
MIR135A1,-0.7678635665988767
DNAH1,-0.04963619263836179
RP11-168J18.6,-0.09811997063022461
BAP1,-0.08387090197048913
PHF7,-0.24165782163586333
SEMA3G,-0.69862408827795
TNNC1,0.5834636379717646
NISCH,-0.3205676908603654
STAB1,1.3045122155340692
KPNA6,0.10143505154286747
NT5DC2,0.07281281010893745
SMIM4,0.5284416047932256
PBRM1,-0.1644464266424927
RNU6-856P,-0.25750922244247126
RNU6ATAC16P,0.27338137205215307
GNL3,0.5388496794197362
SNORD19B,0.2522396229193695
SNORD19,0.29591812896728215
SNORD19,0.18742384247130134
SNORD69,0.1375468492225389
GLT8D1,0.8343261371083986
SPCS1,0.8102223979990073
NEK4,-0.07662650061283924
RP5-966M1.7,-0.32911298817399526
RP5-966M1.5,0.05880232231078274
RP5-966M1.4,-0.15765829497149045
ITIH1,-0.30030457818556244
ITIH3,0.2908733505972002
TXLNA,0.9297887133353089
ITIH4,-0.37056207956346143
RP5-966M1.6,-0.2757347210175142
MUSTN1,-0.47645140441614553
TMEM110-MUSTN1,-0.1640241136880533
TMEM110,0.2308483547538694
MIR8064,-0.31278530617780265
RP11-894J14.2,-0.020344164632427563
SFMBT1,0.14809839364897132
RP11-894J14.5,-0.15558940586491044
CCDC28B,-0.7139749485412408
RP11-5O17.1,0.1417170646984893
SERBP1P3,-0.17231655651139055
RFT1,0.3176831749917636
PRKCD,1.007120466891813
TKT,0.7580991734948247
DCP1A,0.36534574465563996
Y_RNA,0.2665488187310556
SNORD38,0.22511032237833906
RP4-622L5.7,-0.12383774301079561
CACNA1D,-0.5908121362824179
RP11-884K10.6,-0.3297295489010673
CHDH,-0.46660163412517774
IL17RB,-0.4013309109590394
RP11-884K10.7,-0.6151883566405876
ACTR8,-0.28441845516352426
SELK,0.31711557044436733
CACNA2D3,-1.2193018855276794
IQCC,-0.21501941639139704
RPS15P5,-0.7775320246964392
CACNA2D3-AS1,-0.335078684192703
LRTM1,-0.2688013547853655
RP11-889D3.1,-1.237620570513958
RP11-889D3.2,-1.3080532232908084
RP11-875H7.1,-0.5877165082887124
RP11-875H7.2,-0.33715587892932336
DCDC2B,0.2540079938372651
WNT5A,0.42920222644031913
WNT5A-AS1,0.08547327073278918
RP11-875H7.5,-0.04419077761407327
ERC2,-1.2384661135148862
RP11-58O15.1,-0.18587755497466868
ERC2-IT1,-0.9791228621941853
MIR3938,-0.7903581870242474
CCDC66,-0.30526449134867495
TMEM234,0.1818727928230336
FAM208A,-0.06670380744620034
ARHGEF3,0.5440796638983675
SPATA12,0.5085762406583004
RP11-157F20.3,-0.007538815837665508
IL17RD,-0.43833594177445945
HESX1,0.4987377069708442
APPL1,-0.07203766481885253
AC093928.1,-0.135013513696212
EIF3I,0.6749029333885965
ASB14,0.4490128073804994
DNAH12,0.08612825712572197
RNF7P1,0.09084574505265736
RP11-229A12.2,0.12484771875073823
RNU6-108P,-0.2236945248051792
PDE12,0.5122543039325338
ARF4,1.1994526179279226
MTMR9LP,-0.3450722820725943
RP11-755B10.4,-0.20074686803063402
RNU6ATAC26P,-0.5782344087728217
DENND6A,0.7363050637621753
RP11-755B10.2,-0.6721269847451896
RP11-755B10.3,-0.3018419677796269
SLMAP,0.5440814224647375
PPIAP16,0.19510006725335152
FLNB,0.9049666884259882
FLNB-AS1,0.15276272773083732
FAM167B,0.5326255247449581
DNASE1L3,-0.13500742893362494
ABHD6,-0.4024469544916904
RPP14,-0.06662902598249387
RPP14,0.1877753156364993
RP11-80H18.4,-0.3251509801757956
PXK,-0.424197200631507
PDHB,0.05841509169165178
RP11-802O23.3,-0.45289192376216647
RP11-359I18.5,0.052033680843780586
LCK,0.7854217020656558
KCTD6,-0.40339353149309176
ACOX2,0.7122792670759498
RP11-359I18.1,0.2699992051413702
FAM107A,-0.8365137498124845
RP11-475O23.2,-0.34489088846783
RP11-475O23.3,-0.3764750042767372
FAM3D,0.04395008420322452
C3orf67,0.06819321694952124
C3orf67-AS1,-1.0415625638997312
CTD-2185K10.1,-0.6129355652269568
RP11-719N22.1,0.09387776363177955
Metazoa_SRP,0.35247329166640196
FHIT,-0.15975235612604566
MIR548BB,0.7548862352087298
RP11-641C17.2,0.015943142031825508
RP11-641C17.3,0.09988501129541336
RP11-641C17.1,-0.048078460735818375
U3,-0.016832664897023692
PTPRG,-0.30677831625844965
RPL10AP6,0.34173887489724947
RP11-154D3.1,0.322330606533618
PTPRG-AS1,-0.05886155960144176
C3orf14,-0.18708839685315837
FEZF2,-1.165281399165759
CADPS,0.5956270517059172
HDAC1,0.48492209164909394
RP11-1036F1.1,0.6798999397164928
RN7SL863P,0.6151062777017626
RP11-24H1.1,0.12474571369328913
LINC00698,0.2707726816898963
KRT8P35,-0.8533521956766306
SYNPR,-1.446425100204098
AC099545.1,0.24842316885499005
SYNPR-AS1,-0.7412845487518563
MARCKSL1,-1.2093204199445018
SNTN,0.769650899288661
AC136289.1,-1.0134593259382774
THOC7,0.6907653890976876
ATXN7,0.8702712553506919
SCAANT1,0.12157443882418116
PSMD6-AS2,0.17463615929497273
RP4-811H24.9,-0.28477828424230067
RP11-245J9.5,-0.2558874904748823
PSMD6,0.5994156760299535
RP11-245J9.4,0.14766777153465777
RP11-245J9.6,-0.2975755094652275
